CPU_char(distanceTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0.016,0.017,0.016,0.016,0.017,0.0164,0,0.00049
2M,0.033,0.033,0.033,0.033,0.032,0.0328,0,0.0004
4M,0.066,0.065,0.066,0.066,0.066,0.0658,0,0.0004
8M,0.134,0.132,0.132,0.137,0.134,0.1338,0.000003,0.001833
16M,0.271,0.268,0.269,0.267,0.268,0.2686,0.000002,0.001356
32M,0.538,0.536,0.534,0.539,0.535,0.5364,0.000003,0.001855
64M,1.08,1.074,1.071,1.082,1.076,1.0766,0.000016,0.00398
128M,2.155,2.156,2.158,2.149,2.156,2.1548,0.000009,0.003059
,,,,,,,,
,,,,,,,,
CPU_char_thread(distanceTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0.007,0.007,0.007,0.007,0.008,0.0072,0,0.0004
1M,0.009,0.01,0.011,0.009,0.01,0.0098,0.000001,0.000748
2M,0.01,0.01,0.011,0.01,0.011,0.0104,0,0.00049
4M,0.014,0.013,0.015,0.014,0.015,0.0142,0.000001,0.000748
8M,0.017,0.021,0.018,0.018,0.019,0.0186,0.000002,0.001356
16M,0.025,0.031,0.027,0.027,0.027,0.0274,0.000004,0.00196
32M,0.042,0.04,0.041,0.04,0.039,0.0404,0.000001,0.00102
64M,0.067,0.075,0.07,0.07,0.068,0.07,0.000008,0.002757
128M,0.122,0.121,0.12,0.119,0.129,0.1222,0.000013,0.003544
,,,,,,,,
,,,,,,,,
GPU_bits(h2dTime),test.1,test.2,test.3,test.4,test.5,Average,Variance,Standard Deviation
1K,0,0,0,0,0,0,0,0
1M,0.001,0.001,0,0.001,0.001,0.0008,0,0.0004
2M,0.001,0.001,0,0.001,0,0.0006,0,0.00049
4M,0.001,0.001,0.001,0.001,0,0.0008,0,0.0004
8M,0.001,0.001,0.001,0.001,0.001,0.001,0,0
16M,0.003,0.002,0.003,0.003,0.002,0.0026,0,0.00049
32M,0.005,0.005,0.005,0.006,0.005,0.0052,0,0.0004
64M,0.009,0.029,0.03,0.029,0.03,0.0254,0.000067,0.008212
