CPU_char(distanceTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.016000|0.017000|0.016000|0.016000|0.017000|0.016400|0.000000|0.000490
2M|0.033000|0.033000|0.033000|0.033000|0.032000|0.032800|0.000000|0.000400
4M|0.066000|0.065000|0.066000|0.066000|0.066000|0.065800|0.000000|0.000400
8M|0.134000|0.132000|0.132000|0.137000|0.134000|0.133800|0.000003|0.001833
16M|0.271000|0.268000|0.269000|0.267000|0.268000|0.268600|0.000002|0.001356
32M|0.538000|0.536000|0.534000|0.539000|0.535000|0.536400|0.000003|0.001855
64M|1.080000|1.074000|1.071000|1.082000|1.076000|1.076600|0.000016|0.003980
128M|2.155000|2.156000|2.158000|2.149000|2.156000|2.154800|0.000009|0.003059


CPU_char_thread(distanceTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.007000|0.007000|0.007000|0.007000|0.008000|0.007200|0.000000|0.000400
1M|0.009000|0.010000|0.011000|0.009000|0.010000|0.009800|0.000001|0.000748
2M|0.010000|0.010000|0.011000|0.010000|0.011000|0.010400|0.000000|0.000490
4M|0.014000|0.013000|0.015000|0.014000|0.015000|0.014200|0.000001|0.000748
8M|0.017000|0.021000|0.018000|0.018000|0.019000|0.018600|0.000002|0.001356
16M|0.025000|0.031000|0.027000|0.027000|0.027000|0.027400|0.000004|0.001960
32M|0.042000|0.040000|0.041000|0.040000|0.039000|0.040400|0.000001|0.001020
64M|0.067000|0.075000|0.070000|0.070000|0.068000|0.070000|0.000008|0.002757
128M|0.122000|0.121000|0.120000|0.119000|0.129000|0.122200|0.000013|0.003544


GPU_bits(h2dTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.001000|0.001000|0.000000|0.001000|0.001000|0.000800|0.000000|0.000400
2M|0.001000|0.001000|0.000000|0.001000|0.000000|0.000600|0.000000|0.000490
4M|0.001000|0.001000|0.001000|0.001000|0.000000|0.000800|0.000000|0.000400
8M|0.001000|0.001000|0.001000|0.001000|0.001000|0.001000|0.000000|0.000000
16M|0.003000|0.002000|0.003000|0.003000|0.002000|0.002600|0.000000|0.000490
32M|0.005000|0.005000|0.005000|0.006000|0.005000|0.005200|0.000000|0.000400
64M|0.009000|0.029000|0.030000|0.029000|0.030000|0.025400|0.000067|0.008212
128M|0.017000|0.057000|0.058000|0.059000|0.057000|0.049600|0.000266|0.016317


GPU_char_global(h2dTime)|test.1|test.2|test.3|test.4|test.5|Average|Variance|Standard Deviation
1K|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
1M|0.000000|0.001000|0.001000|0.001000|0.001000|0.000800|0.000000|0.000400
2M|0.000000|0.000000|0.000000|0.000000|0.001000|0.000200|0.000000|0.000400
4M|0.000000|0.001000|0.001000|0.000000|0.001000|0.000600|0.000000|0.000490
8M|0.002000|0.002000|0.002000|0.001000|0.002000|0.001800|0.000000|0.000400
16M|0.002000|0.002000|0.002000|0.002000|0.002000|0.002000|0.000000|0.000000
